date,title,artist,peak_pos,last_pos,weeks,rank,genre,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6/9/18,High Hopes,Panic! At The Disco,98,0,1,98,"['emo', 'modern rock', 'pop punk', 'vegas indie']",0.904,0.064,82.014,0.0618,0.193,0.0,4.0,0.579,5.0,190947.0,-2.7289999999999996,0.6809999999999999,1.0
6/9/18,If You Know You Know,Pusha T,73,0,1,73,"['dirty south rap', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.6970000000000001,0.36200000000000004,153.42600000000002,0.325,0.0186,0.0,4.0,0.46,6.0,202120.0,-5.954,0.701,0.0
6/9/18,Infrared,Pusha T,65,0,1,65,"['dirty south rap', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.578,0.72,112.265,0.298,0.0518,0.0055,5.0,0.674,10.0,170240.0,-8.767999999999999,0.163,0.0
6/9/18,Moonlight,XXXTENTACION,35,94,9,99,[''],0.537,0.102,128.009,0.0804,0.556,0.00404,4.0,0.9209999999999999,9.0,135090.0,-5.723,0.711,0.0
6/9/18,Most People Are Good,Luke Bryan,43,81,18,92,"['contemporary country', 'country', 'country road']",0.728,0.139,150.013,0.0292,0.174,0.0,4.0,0.5820000000000001,8.0,221801.0,-6.151,0.537,1.0
6/9/18,The Games We Play,Pusha T,100,0,1,100,"['dirty south rap', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.7959999999999999,0.096,78.033,0.198,0.0713,0.0163,4.0,0.6940000000000001,5.0,166120.0,-3.696,0.5920000000000001,1.0
6/2/18,ATM,J. Cole,6,63,5,89,"['conscious hip hop', 'pop', 'pop rap', 'rap']",0.49700000000000005,0.0898,81.65100000000001,0.6809999999999999,0.115,0.0,4.0,0.7190000000000001,8.0,216727.0,-7.6610000000000005,0.345,1.0
6/2/18,Change Lanes,Kevin Gates,68,0,1,68,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.7829999999999999,0.0952,130.195,0.424,0.129,0.0,4.0,0.706,2.0,205861.0,-5.337000000000001,0.513,1.0
6/2/18,Don't Go Breaking My Heart,Backstreet Boys,99,0,1,99,"['boy band', 'dance pop', 'europop', 'pop']",0.703,0.0964,94.85799999999999,0.102,0.0218,0.0,4.0,0.541,0.0,215724.0,-5.5729999999999995,0.23800000000000002,1.0
6/2/18,Downtown's Dead,Sam Hunt,98,0,1,98,['contemporary country'],0.696,0.132,82.001,0.0469,0.109,0.0,4.0,0.624,11.0,213987.0,-6.006,0.392,1.0
6/2/18,Kevin's Heart,J. Cole,8,68,5,92,"['conscious hip hop', 'pop', 'pop rap', 'rap']",0.527,0.631,116.07799999999999,0.36700000000000005,0.48200000000000004,0.0,4.0,0.8290000000000001,6.0,200310.0,-6.644,0.473,0.0
6/2/18,Let It Sing,Kevin Gates,82,0,1,82,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.728,0.159,144.964,0.402,0.0392,0.0,4.0,0.737,5.0,195456.0,-5.497999999999999,0.5870000000000001,0.0
6/2/18,Like That,Kris Wu,73,0,1,73,['chinese hip hop'],0.447,0.0931,110.059,0.126,0.775,1.4800000000000002e-05,4.0,0.823,1.0,228662.0,-10.562000000000001,0.413,0.0
6/2/18,No Excuses,Meghan Trainor,46,67,12,93,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",0.6579999999999999,0.0417,115.016,0.0517,0.0224,0.0,4.0,0.8270000000000001,6.0,152862.0,-3.846,0.523,1.0
6/2/18,Outside Today,YoungBoy Never Broke Again,31,80,19,97,['trap music'],0.6659999999999999,0.105,134.06799999999998,0.0694,0.139,0.0,4.0,0.851,11.0,129105.0,-5.334,0.0585,0.0
6/2/18,Southside,Lil Baby,79,0,1,79,"['pop', 'rap', 'southern hip hop', 'trap music']",0.6459999999999999,0.191,77.555,0.257,0.00271,0.0,4.0,0.8109999999999999,8.0,173437.0,-4.902,0.386,0.0
6/2/18,Stay,Post Malone,17,65,4,88,"['pop', 'rap']",0.46799999999999997,0.14800000000000002,85.913,0.0274,0.414,0.0,4.0,0.479,5.0,204427.0,-5.396,0.35,1.0
5/26/18,92 Explorer,Post Malone,40,69,3,98,"['pop', 'rap']",0.743,0.121,146.03,0.0474,0.26899999999999996,1.36e-06,4.0,0.802,7.0,211427.0,-4.82,0.877,0.0
5/26/18,Cry Pretty,Carrie Underwood,48,0,3,95,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']",0.736,0.109,140.299,0.0459,0.00495,0.0,3.0,0.35100000000000003,6.0,246467.0,-3.318,0.237,1.0
5/26/18,Over Now,Post Malone,24,64,3,89,"['pop', 'rap']",0.7609999999999999,0.14300000000000002,163.898,0.0877,0.131,1.6e-06,4.0,0.5589999999999999,4.0,246987.0,-4.041,0.24,0.0
5/26/18,Stir Fry,Migos,8,50,21,44,"['pop', 'rap', 'trap music']",0.816,0.159,181.967,0.26899999999999996,0.00299,0.0,4.0,0.815,2.0,190288.0,-5.474,0.498,1.0
5/26/18,Takin' Shots,Post Malone,29,67,3,97,"['pop', 'rap']",0.625,0.409,120.09200000000001,0.0836,0.597,0.0,4.0,0.767,5.0,216747.0,-6.193,0.5770000000000001,1.0
5/26/18,When We,Tank,78,100,20,94,"['dance pop', 'deep pop r&b', 'r&b', 'urban contemporary']",0.341,0.0971,117.74700000000001,0.0614,0.192,0.0,4.0,0.589,6.0,280678.0,-11.099,0.0398,0.0
5/26/18,Zack And Codeine,Post Malone,23,63,3,90,"['pop', 'rap']",0.84,0.133,138.032,0.0471,0.14300000000000002,0.0,4.0,0.742,5.0,204360.0,-5.1979999999999995,0.287,0.0
5/19/18,Barbie Tingz,Nicki Minaj,25,0,4,84,"['dance pop', 'hip pop', 'pop', 'pop rap', 'rap']",0.6890000000000001,0.603,102.414,0.264,0.0849,0.0,4.0,0.917,6.0,191700.0,-6.225,0.44299999999999995,1.0
5/19/18,Blame It On Me,Post Malone,47,47,2,93,"['pop', 'rap']",0.5870000000000001,0.149,121.838,0.0421,0.135,1.07e-05,4.0,0.6509999999999999,11.0,261800.0,-7.307,0.317,0.0
5/19/18,Diamond Teeth Samurai,YoungBoy Never Broke Again,59,95,5,94,['trap music'],0.659,0.13,177.957,0.272,0.00451,0.0,4.0,0.799,10.0,162488.0,-5.593,0.256,0.0
5/19/18,Famous,Mason Ramsey,62,62,2,95,[''],0.815,0.111,159.84799999999998,0.0278,0.708,0.0,4.0,0.534,5.0,192520.0,-2.815,0.564,1.0
5/19/18,Otherside,Post Malone,46,46,2,89,"['pop', 'rap']",0.657,0.213,104.931,0.0334,0.354,5.17e-06,4.0,0.645,9.0,228227.0,-5.688,0.136,0.0
5/19/18,Preach,YoungBoy Never Broke Again,98,0,1,98,['trap music'],0.675,0.213,155.049,0.247,0.175,0.0,4.0,0.731,8.0,236071.0,-4.771,0.381,0.0
5/12/18,1985 (Intro To The Fall Off),J. Cole,20,20,2,79,"['conscious hip hop', 'pop', 'pop rap', 'rap']",0.648,0.182,94.336,0.445,0.147,0.0,4.0,0.6779999999999999,2.0,190177.0,-5.892,0.635,1.0
5/12/18,Candy Paint,Post Malone,34,0,21,34,"['pop', 'rap']",0.654,0.071,180.024,0.153,0.627,1.02e-06,4.0,0.67,4.0,227533.0,-5.944,0.43799999999999994,1.0
5/12/18,Changes,XXXTENTACION,37,83,9,96,[''],0.308,0.0984,64.934,0.028999999999999998,0.883,0.0,4.0,0.669,11.0,121887.0,-10.068,0.52,1.0
5/12/18,Jonestown (Interlude),Post Malone,73,0,1,73,"['pop', 'rap']",0.495,0.261,78.395,0.0446,0.7509999999999999,0.462,4.0,0.341,0.0,112013.0,-10.251,0.252,0.0
5/12/18,Motiv8,J. Cole,15,15,2,71,"['conscious hip hop', 'pop', 'pop rap', 'rap']",0.385,0.0931,149.89700000000002,0.297,0.135,0.0,4.0,0.8690000000000001,4.0,133922.0,-7.801,0.596,1.0
5/12/18,Photograph,J. Cole,14,14,2,80,"['conscious hip hop', 'pop', 'pop rap', 'rap']",0.48700000000000004,0.0868,105.05,0.233,0.0299,0.0,3.0,0.825,1.0,218954.0,-6.416,0.37200000000000005,1.0
5/12/18,Sugar Wraith,Post Malone,57,0,1,57,"['pop', 'rap']",0.767,0.0979,164.079,0.0868,0.26,0.0,4.0,0.6,5.0,228147.0,-4.232,0.29100000000000004,0.0
5/5/18,Brackets,J. Cole,30,0,1,30,"['conscious hip hop', 'pop', 'pop rap', 'rap']",0.5670000000000001,0.175,84.039,0.263,0.19,1.77e-06,4.0,0.675,10.0,315771.0,-9.147,0.6579999999999999,0.0
5/5/18,Feel It Still,Portugal. The Man,4,39,45,50,"['modern rock', 'neo-psychedelic']",0.795,0.0717,79.028,0.0504,0.0417,0.000113,4.0,0.8009999999999999,1.0,163253.0,-5.115,0.754,0.0
5/5/18,Intro,J. Cole,53,0,1,53,"['conscious hip hop', 'pop', 'pop rap', 'rap']",0.648,0.182,94.336,0.445,0.147,0.0,4.0,0.6779999999999999,2.0,190177.0,-5.892,0.635,1.0
5/5/18,Let You Down,NF,12,37,28,49,['hip hop'],0.721,0.17300000000000001,148.066,0.122,0.298,0.0,4.0,0.6559999999999999,5.0,212120.0,-5.665,0.46799999999999997,0.0
